"","V1","V2","V3","V4"
"592",1,4,5,4
"593",1,19,20,19
"594",1,5,6,5
"595",2,3,5,4
"596",3,2,5,3
"597",2,1,3,2
"598",1,38,39,38
"599",2,5,7,6
"600",2,3,5,4
"601",1,5,6,5
"602",1,2,3,2
"603",1,1,2,1
"604",3,8,11,10
"605",7,16,23,20
"606",1,38,39,38
"607",1,7,8,7
"608",1,1,2,1
"609",1,1,2,1
"610",1,4,5,4
"611",1,3,4,3
"612",1,1,2,1
"613",2,4,6,4
"614",1,7,8,7
"615",1,7,8,7
"616",2,9,11,9
"617",2,19,21,19
"618",11,12,23,22
"619",1,7,8,7
"620",1,3,4,3
"621",2,6,8,7
"622",1,12,13,12
"623",1,5,6,5
"624",1,23,24,23
"625",1,1,2,1
"626",1,2,3,2
"627",1,5,6,5
"628",2,19,21,19
"629",1,3,4,3
"630",5,11,16,12
"631",3,12,15,13
"632",1,2,3,2
"633",2,2,4,2
"634",1,3,4,3
"635",1,8,9,8
"636",1,5,6,5
"637",2,3,5,3
"638",1,2,3,2
"639",1,3,4,3
"640",5,8,13,9
"641",3,7,10,9
"642",1,2,3,2
"643",1,2,3,2
"644",1,12,13,12
"645",1,4,5,4
"646",3,6,9,8
"647",2,2,4,3
"648",1,1,2,1
"649",2,16,18,16
"650",1,1,2,1
"651",2,6,8,7
"652",1,6,7,6
"653",1,4,5,4
"654",1,3,4,3
"655",1,16,17,16
"656",1,2,3,2
"657",1,41,42,41
"658",2,26,28,27
"659",2,4,6,5
"660",2,2,4,3
"661",6,3,9,8
"662",1,4,5,4
"663",12,13,25,23
"664",1,6,7,6
"665",29,29,58,29
"666",1,1,2,1
"667",1,4,5,4
"668",2,3,5,3
"669",1,7,8,7
"670",3,1,4,3
"671",1,2,3,2
"672",1,3,4,3
"673",1,11,12,11
"674",1,1,2,1
"675",3,37,40,38
"676",7,6,13,9
"677",6,37,43,39
"678",1,1,2,1
"679",1,1,2,1
"680",3,6,9,8
"681",1,1,2,1
"682",1,5,6,5
"683",1,5,6,5
"684",1,3,4,3
"685",3,4,7,6
"686",3,2,5,4
"687",4,9,13,12
"688",1,4,5,4
"689",1,3,4,3
"690",1,6,7,6
"691",1,9,10,9
"692",1,9,10,9
"693",1,12,13,12
"694",1,34,35,34
"695",1,4,5,4
"696",1,1,2,1
"697",1,3,4,3
"698",1,1,2,1
"699",1,2,3,2
"700",2,6,8,6
"701",3,4,7,4
"702",1,16,17,16
"703",3,10,13,12
"704",26,9,35,30
"705",1,7,8,7
"706",2,9,11,10
"707",1,12,13,12
"708",1,8,9,8
"709",1,1,2,1
"710",18,1,19,18
"711",2,10,12,11
"712",1,21,22,21
"713",2,7,9,8
"714",3,16,19,17
"715",1,1,2,1
"716",1,5,6,5
"717",4,3,7,4
"718",1,13,14,13
"719",1,4,5,4
"720",3,5,8,6
"721",1,5,6,5
"722",1,2,3,2
"723",3,5,8,7
"724",6,9,15,14
"725",2,9,11,10
"726",3,1,4,3
"727",1,1,2,1
"728",2,8,10,8
"729",1,1,2,1
"730",8,5,13,12
"731",1,2,3,2
"732",4,1,5,4
"733",1,1,2,1
"734",1,3,4,3
"735",1,17,18,17
"736",1,11,12,11
"737",1,7,8,7
"738",2,1,3,2
"739",3,4,7,6
"740",1,1,2,1
"741",1,1,2,1
"742",1,6,7,6
"743",1,9,10,9
"744",1,5,6,5
"745",2,6,8,6
"746",2,6,8,6
"747",1,1,2,1
"748",1,4,5,4
"749",1,15,16,15
"750",1,6,7,6
"751",1,5,6,5
